Old_Name,New_Name,Role
Goal_ID,GOAL,Reference
Goal_DescAr,GOAL_DESC_AR,Reference
Goal_DescEn,GOAL_DESC_EN,Reference
Target_ID,TARGET,Reference
Target_DescAr,TARGET_DESC_AR,Reference
Target_DescEn,TARGET_DESC_EN,Reference
Indicator_NL,INDICATOR,Reference
Indicator_Code,INDICATOR_CODE,Reference
Indicator_descAr,INDICATOR_CODE_DESC_AR,Reference
Indicator_descEn,INDICATOR_CODE_DESC_EN,Reference
Subindicator_Code,SUBINDICATOR_CODE,Reference
Subindicator_DescAr,SUBINDICATOR_CODE_DESC_AR,Reference
Subindicator_DescEn,SUBINDICATOR_CODE_DESC_EN,Reference
Colonna1,_NOT_DEFINED_1,Dimension
Column1,_NOT_DEFINED_2,Dimension
Unnamed: 24,_NOT_DEFINED_3,Dimension
Unnamed: 76,_NOT_DEFINED_4,Dimension
AGE,AGE,Dimension
Age,AGE,Dimension
Age_DescAr,AGE_DESC_AR,Dimension
Age_DescEn,AGE_DESC_EN,Dimension
DISABILITY_STATUS,DISABILITY_STATUS,Dimension
DisabilityStatus_DescAr,DISABILITY_STATUS_DESC_AR,Dimension
DisabilityStatus_DescEn,DISABILITY_STATUS_DESC_EN,Dimension
EcosystemType,ECOSYSTEM_TYPE,Dimension
EcosystemType_DescAr,ECOSYSTEM_TYPE_DESC_AR,Dimension
EcosystemType_DescEn,ECOSYSTEM_TYPE_DESC_EN,Dimension
EDUCATION_LEV,EDUCATION_LEVEL,Dimension
Level of Education,EDUCATION_LEVEL,Dimension
Education_DescAr,EDUCATION_LEVEL_DESC_AR,Dimension
Education_DescEn,EDUCATION_LEVEL_DESC_EN,Dimension
EmploymentStatus,EMPLOYMENT_STATUS,Dimension
EmploymentStatus_DescAr,EMPLOYMENT_STATUS_DESC_AR,Dimension
EmploymentStatus_DescEn,EMPLOYMENT_STATUS_DESC_EN,Dimension
InternetSpeed,INTERNET_SPEED,Dimension
InternetSpeed_DescAr,INTERNET_SPEED_DESC_AR,Dimension
InternetSpeed_DescEn,INTERNET_SPEED_DESC_EN,Dimension
MobileNetworkTechnology,MOBILE_NETWORK_TECHNOLOGY,Dimension
MobileNetworkTechnology_DescAr,MOBILE_NETWORK_TECHNOLOGY_DESC_AR,Dimension
MobileNetworkTechnology_DescEn,MOBILE_NETWORK_TECHNOLOGY_DESC_EN,Dimension
OCCUPATION,OCCUPATION,Dimension
Occupation_DescAr,OCCUPATION_DESC_AR,Dimension
Occupation_DescEn,OCCUPATION_DESC_EN,Dimension
PovertyStatus,POVERTY_STATUS,Dimension
PovertyStatus_DescAr,POVERTY_STATUS_DESC_AR,Dimension
PovertyStatus_DescEn,POVERTY_STATUS_DESC_EN,Dimension
PregnancyStatus,PREGNANCY_STATUS,Dimension
PregnancyStatus_DescAr,PREGNANCY_STATUS_DESC_AR,Dimension
PregnancyStatus_DescEn,PREGNANCY_STATUS_DESC_EN,Dimension
YearsOfSchooling,SCHOOLING_YEARS,Dimension
years-schooling,SCHOOLING_YEARS,Dimension
YearsOfSchooling_DescAr,SCHOOLING_YEARS_DESC_AR,Dimension
YearsOfSchooling_DescEn,SCHOOLING_YEARS_DESC_EN,Dimension
Sector,SECTOR,Dimension
Sector_DescAr,SECTOR_DESC_AR,Dimension
Sector_DescEn,SECTOR_DESC_EN,Dimension
SEX,SEX,Dimension
SEX_DESC_AR,SEX_DESC_AR,Dimension
SEX_DESC_EN,SEX_DESC_EN,Dimension
AreaOfStudy,STUDY_AREA,Dimension
AreaOfStudy_DescAr,STUDY_AREA_DESC_AR,Dimension
AreaOfStudy_DescEn,STUDY_AREA_DESC_EN,Dimension
URBANISATION,URBANISATION,Dimension
Urbanisation_DescAr,URBANISATION_DESC_AR,Dimension
Urbanisation_DescEn,URBANISATION_DESC_EN,Dimension
TypeOfViolence,VIOLENCE_TYPE,Dimension
TypeOfViolence_DescAr,VIOLENCE_TYPE_DESC_AR,Dimension
TypeOfViolence_DescEn,VIOLENCE_TYPE_DESC_EN,Dimension
WorkingInjuryStatus,WORKING_INJURY_STATUS,Dimension
WorkingInjuryStatus_DescAr,WORKING_INJURY_STATUS_DESC_AR,Dimension
WorkingInjuryStatus_DescEn,WORKING_INJURY_STATUS_DESC_EN,Dimension
REF_AREA,REF_AREA,Geo
REF_AREA_DESC_AR,REF_AREA_DESC_AR,Geo
REF_AREA_DESC_EN,REF_AREA_DESC_EN,Geo
TIME_PERIOD,TIME_PERIOD,Time
COMMENT_OBS,OBS_COMMENT,Observation
OBS_STATUS,OBS_STATUS,Observation
OBS_VALUE,OBS_VALUE,Observation
UNIT_MEASURE,UNIT_MEASURE,Attribute
UNIT_MULT,UNIT_MULT,Attribute
BASE_PER,BASE_PERIOD,Attribute
TIME_DETAIL,TIME_DETAIL,Attribute
SOURCE_DETAIL,SOURCE_DETAIL,Attribute
SOURCE_DETAIL_AR,SOURCE_DETAIL_DESC_AR,Attribute
SOURCE_DETAIL_Ar,SOURCE_DETAIL_DESC_EN,Attribute
